company,date,Sent_d,daily_return
Tesco,2024-05-30,0.02799999999999999,0.007734489089437144
Tesco,2024-05-31,0.027249999999999996,-0.0016064260482736878
Tesco,2024-06-06,0.009500000000000001,-0.001291155763619816
Tesco,2024-06-10,-0.014253563390847712,-0.00586894413652705
Tesco,2024-06-14,0.0316,0.02513597327154224
Tesco,2024-06-26,0.04823794051487129,0.0
Tesco,2024-06-27,0.08618276344731055,-0.003582482255222842
Tesco,2024-06-28,0.002666666666666669,-0.0016326534238853348
Tesco,2024-07-01,0.07616666666666667,0.004239367184058184
Tesco,2024-07-02,0.03879224155168966,-0.009481843148908318
Tesco,2024-07-03,0.14047658723546078,-0.0006572461623382686
Tesco,2024-07-04,0.09758048390321937,0.011439902502803757
Tesco,2024-07-05,0.04823794051487129,0.010667629851238009
